fact_id,date_key,region_id,category_id,company_sales,total_market_size
1,2021000,1,1,3479743.37,15129319.0
2,2021001,1,1,7739970.09,35181682.22
3,2021002,1,1,16152519.9,48947030.0
4,2021003,1,1,3010144.46,50169074.38
5,2021004,1,1,11110949.79,32679264.08
6,2021005,1,1,2156903.22,35948387.0
7,2021006,1,1,7825242.79,34022794.72
8,2021007,1,1,7797290.37,38986451.84
9,2021008,1,1,5335764.56,44464704.64
10,2021009,1,1,3479332.31,19329623.96
11,2021010,1,1,8962319.9,35849279.6
12,2021011,1,1,4692436.87,46924368.66
13,2021012,1,1,7760795.44,33742588.88
14,2021013,1,1,5995001.96,46115399.72
15,2021014,1,1,6431782.78,20747686.4
16,2021015,1,1,3965839.47,56654849.6
17,2021016,1,1,2687430.44,26874304.4
18,2021017,1,1,9638119.5,33234894.82
19,2021018,1,1,15182336.74,44653931.6
20,2021019,1,1,4032687.05,28804907.48
21,2021000,2,1,5755881.8,28779409.0
22,2021001,2,1,675784.29,13515685.76
23,2021002,2,1,7228904.54,45180653.36
24,2021003,2,1,2657186.06,11552982.88
25,2021004,2,1,4265825.67,16407021.8
26,2021005,2,1,10555447.88,31986205.7
27,2021006,2,1,5589741.08,31054117.12
28,2021007,2,1,7532506.65,53803618.94
29,2021008,2,1,3207106.5,16879507.92
30,2021009,2,1,1425337.96,14253379.6
31,2021010,2,1,17305860.46,49445315.6
32,2021011,2,1,13306134.45,55442226.88
33,2021012,2,1,8215894.1,41079470.48
34,2021013,2,1,1715573.16,13196716.58
35,2021014,2,1,2245014.78,11225073.92
36,2021015,2,1,1545955.06,5330879.5
37,2021016,2,1,1298140.77,3818061.08
38,2021017,2,1,3212091.24,18894654.34
39,2021018,2,1,14553205.81,51975735.04
40,2021019,2,1,8882290.09,63444929.18
41,2021000,3,1,2019302.02,8779574.0
42,2021001,3,1,6108519.94,43632285.32
43,2021002,3,1,11834458.25,40808476.72
44,2021003,3,1,1908193.44,9540967.2
45,2021004,3,1,11478623.57,34783707.8
46,2021005,3,1,3471543.52,49593478.9
47,2021006,3,1,1623180.04,9017666.88
48,2021007,3,1,3381090.72,24150648.02
49,2021008,3,1,10180790.37,48479954.16
50,2021009,3,1,8115128.24,42711201.24
51,2021010,3,1,16199998.64,57857138.0
52,2021011,3,1,15162978.68,48912834.46
53,2021012,3,1,2301753.06,7672510.2
54,2021013,3,1,5386092.62,59845473.56
55,2021014,3,1,2810099.71,18733998.08
56,2021015,3,1,1868555.81,8124155.7
57,2021016,3,1,8431647.0,26348896.88
58,2021017,3,1,9272656.25,34343171.3
59,2021018,3,1,4365823.61,54572795.12
60,2021019,3,1,3242348.99,46319271.32
61,2021000,4,1,12948538.98,49802073.0
62,2021001,4,1,437982.75,3369098.06
63,2021002,4,1,2392782.53,26586472.56
64,2021003,4,1,9709487.47,32364958.22
65,2021004,4,1,1359931.46,33998286.44
66,2021005,4,1,2083749.09,9922614.7
67,2021006,4,1,4661052.77,23305263.84
68,2021007,4,1,4455351.3,31823937.86
69,2021008,4,1,3255770.77,13565711.56
70,2021009,4,1,5647668.23,18218284.62
71,2021010,4,1,11043313.56,48014406.8
72,2021011,4,1,5086085.96,31788037.28
73,2021012,4,1,1293275.72,21554595.4
74,2021013,4,1,1220611.82,30515295.62
75,2021014,4,1,4012976.38,13837849.6
76,2021015,4,1,3744189.96,46802374.5
77,2021016,4,1,4918555.13,19674220.52
78,2021017,4,1,8582776.82,53642355.14
79,2021018,4,1,5358182.21,29767678.96
80,2021019,4,1,2217947.5,24643861.1
81,2021000,5,1,2679078.71,38272553.0
82,2021001,5,1,5708889.28,47574077.36
83,2021002,5,1,3366963.98,19805670.48
84,2021003,5,1,4587542.1,14336069.06
85,2021004,5,1,3254164.41,18078691.16
86,2021005,5,1,9408004.43,30348401.4
87,2021006,5,1,1338637.81,13386378.08
88,2021007,5,1,3179027.89,52983798.2
89,2021008,5,1,3498458.09,21865363.08
90,2021009,5,1,8709262.81,31104510.02
91,2021010,5,1,2044123.37,9733920.8
92,2021011,5,1,7962508.57,24128813.84
93,2021012,5,1,6021212.11,23158508.12
94,2021013,5,1,21100006.88,60285733.94
95,2021014,5,1,19505691.64,62921585.92
96,2021015,5,1,12953178.24,49819916.3
97,2021016,5,1,1022213.38,20444267.6
98,2021017,5,1,18178620.22,60595400.74
99,2021018,5,1,2797588.49,55951769.84
100,2021019,5,1,5757600.76,16934119.88
101,2021000,6,1,1478612.73,7041013.0
102,2021001,6,1,6799335.33,30906069.68
103,2021002,6,1,4451790.9,15351003.12
104,2021003,6,1,5281559.11,20313688.9
105,2021004,6,1,5981750.53,37385940.8
106,2021005,6,1,10223224.46,44448802.0
107,2021006,6,1,17478500.04,54620312.64
108,2021007,6,1,1108324.66,8525574.32
109,2021008,6,1,14126105.48,42806380.24
110,2021009,6,1,6370675.23,25482700.92
111,2021010,6,1,6973205.04,41018853.2
112,2021011,6,1,18939056.4,59184551.26
113,2021012,6,1,11051077.47,40929916.56
114,2021013,6,1,7633734.59,38168672.96
115,2021014,6,1,1330010.57,10230850.56
116,2021015,6,1,10611592.39,46137358.2
117,2021016,6,1,5420107.84,27100539.2
118,2021017,6,1,2470991.58,11231779.92
119,2021018,6,1,10034464.36,29513130.48
120,2021019,6,1,11090497.44,52811892.56
121,2021000,7,1,3436610.76,19092282.0
122,2021001,7,1,10148885.84,37588466.06
123,2021002,7,1,6235085.99,41567239.92
124,2021003,7,1,863995.26,3455981.02
125,2021004,7,1,1747813.93,11652092.84
126,2021005,7,1,4354262.06,36285517.2
127,2021006,7,1,7676898.33,24764188.16
128,2021007,7,1,4254591.04,47273233.82
129,2021008,7,1,2397207.55,29965094.4
130,2021009,7,1,10228379.7,56824331.64
131,2021010,7,1,6889999.92,57416666.0
132,2021011,7,1,7457308.06,49715387.06
133,2021012,7,1,667392.07,13347841.4
134,2021013,7,1,2342636.45,8676431.3
135,2021014,7,1,19915166.94,60348990.72
136,2021015,7,1,776639.79,19415994.7
137,2021016,7,1,12874902.35,45981794.12
138,2021017,7,1,1639011.4,14900103.62
139,2021018,7,1,3799025.18,12663417.28
140,2021019,7,1,2637148.18,13879727.24
141,2021000,8,1,11501897.35,39661715.0
142,2021001,8,1,2767037.19,39529102.76
143,2021002,8,1,2763833.21,19741665.76
144,2021003,8,1,9311396.93,34486655.28
145,2021004,8,1,634643.83,2759321.0
146,2021005,8,1,3946110.06,39461100.6
147,2021006,8,1,9811710.78,54509504.32
148,2021007,8,1,849238.89,10615486.16
149,2021008,8,1,7325516.21,24418387.36
150,2021009,8,1,3392669.18,11308897.28
151,2021010,8,1,19435745.6,58896198.8
152,2021011,8,1,2565069.23,28500769.24
153,2021012,8,1,9668173.1,43946241.36
154,2021013,8,1,1008641.42,25216035.5
